,,,,,,,,,,,,,,,,,,
p52,[p22,p12,p4,p30,],0,3094.89,,p52,[p22,p12,p4,p30,],0,3094.89,52,52
p53,[p24,p27,p4,p29,],0,3094.73,,p53,[p24,p27,p4,p29,],0,3094.73,53,53
p54,[p19,p22,p16,p24,],1,3095.01,,p54,[p19,p22,p16,p24,],1,3095.01,54,54
p55,[p30,p19,p16,p12,],0,3095.79,,p55,[p30,p19,p16,p12,],0,3095.79,55,55
p56,[p30,p29,p12,p19,],0,3094.9,,p56,[p30,p29,p12,p19,],0,3094.9,56,56
p57,[p29,p4,p27,p30,],0,3096.17,,p57,[p29,p4,p27,p30,],0,3096.17,57,57
p58,[p29,p22,p49,p12,],0,3094.86,,p58,[p29,p22,p49,p12,],0,3094.86,58,58
p59,[p27,p30,p4,p22,],1,3095.45,,p59,[p27,p30,p4,p22,],1,3095.45,59,59
p60,[p12,p24,p37,p4,],0,3095.69,,p60,[p12,p24,p37,p4,],0,3095.69,60,60
p61,[p22,p19,p4,p30,],4,3095.16,,p61,[p22,p19,p4,p30,],4,3095.16,61,61
p62,[p4,p19,p30,p16,],0,3095.2,,p62,[p4,p19,p30,p16,],0,3095.2,62,62
p63,[p19,p33,p22,p61,],0,3093.9,,p63,[p19,p33,p22,p61,],0,3093.9,63,63
p64,[p92,p84,p74,p121,],0,3060.95,,p64,[p92,p84,p74,p121,],0,3060.95,64,64
p65,[p84,p121,p117,p74,],31,3061.12,,p65,[p84,p121,p117,p74,],31,3061.12,65,65
p66,[p123,p65,p79,p121,],0,3065.88,,p66,[p123,p65,p79,p121,],0,3065.88,66,66
p67,[p91,p74,p117,p84,],0,3060.62,,p67,[p91,p74,p117,p84,],0,3060.62,67,67
p68,[p65,p122,p76,p117,],0,3060.35,,p68,[p65,p122,p76,p117,],0,3060.35,68,68
p69,[p84,p65,p121,p117,],3,3061.37,,p69,[p84,p65,p121,p117,],3,3061.37,69,69
p70,[p94,p65,p124,p81,],0,3061.77,,p70,[p94,p65,p124,p81,],0,3061.77,70,70
p71,[p121,p76,p86,p117,],0,3060.61,,p71,[p121,p76,p86,p117,],0,3060.61,71,71
p72,[p121,p123,p69,p122,],0,3062.01,,p72,[p121,p123,p69,p122,],0,3062.01,72,72
p73,[p84,p127,p99,p77,],0,3062.58,,p73,[p84,p127,p99,p77,],0,3062.58,73,73
p74,[p117,p84,p121,p65,],31,3060.86,,p74,[p117,p84,p121,p65,],31,3060.86,74,74
p75,[p84,p123,p91,p65,],0,3061.6,,p75,[p84,p123,p91,p65,],0,3061.6,75,75
p76,[p121,p117,p84,p65,],9,3060.68,,p76,[p121,p117,p84,p65,],9,3060.68,76,76
p77,[p121,p84,p117,p94,],2,3060.89,,p77,[p121,p84,p117,p94,],2,3060.89,77,77
p78,[p123,p84,p65,p121,],1,3060.93,,p78,[p123,p84,p65,p121,],1,3060.93,78,78
p79,[p121,p117,p74,p84,],3,3060.03,,p79,[p121,p117,p74,p84,],3,3060.03,79,79
p80,[p94,p65,p121,p117,],0,3060.73,,p80,[p94,p65,p121,p117,],0,3060.73,80,80
p81,[p84,p74,p121,p65,],5,3060.52,,p81,[p84,p74,p121,p65,],5,3060.52,81,81
p82,[p91,p123,p65,p94,],0,3060.91,,p82,[p91,p123,p65,p94,],0,3060.91,82,82
p83,[p84,p65,p74,p117,],0,3061.23,,p83,[p84,p65,p74,p117,],0,3061.23,83,83
p84,[p121,p117,p65,p74,],36,3060.85,,p84,[p121,p117,p65,p74,],36,3060.85,84,84
p85,[p123,p91,p86,p76,],0,3060.32,,p85,[p123,p91,p86,p76,],0,3060.32,85,85
p86,[p121,p74,p84,p65,],7,3061.14,,p86,[p121,p74,p84,p65,],7,3061.14,86,86
p87,[p99,p74,p79,p86,],0,3061.39,,p87,[p99,p74,p79,p86,],0,3061.39,87,87
p88,[p74,p84,p65,p107,],0,3063.14,,p88,[p74,p84,p65,p107,],0,3063.14,88,88
p89,[p121,p74,p117,p127,],0,3061.05,,p89,[p121,p74,p117,p127,],0,3061.05,89,89
p90,[p65,p117,p122,p91,],0,3061.16,,p90,[p65,p117,p122,p91,],0,3061.16,90,90
p91,[p84,p121,p74,p117,],8,3061.37,,p91,[p84,p121,p74,p117,],8,3061.37,91,91
p92,[p121,p84,p117,p74,],2,3060.85,,p92,[p121,p84,p117,p74,],2,3060.85,92,92
p93,[p76,p124,p107,p121,],0,3059.41,,p93,[p76,p124,p107,p121,],0,3059.41,93,93
p94,[p121,p84,p65,p74,],10,3060.61,,p94,[p121,p84,p65,p74,],10,3060.61,94,94
p95,[p122,p79,p74,p117,],0,3059.8,,p95,[p122,p79,p74,p117,],0,3059.8,95,95
p96,[p91,p76,p122,p74,],0,3060.86,,p96,[p91,p76,p122,p74,],0,3060.86,96,96
p97,[p92,p117,p94,p107,],0,3060.27,,p97,[p92,p117,p94,p107,],0,3060.27,97,97
p98,[p117,p84,p65,p76,],1,3060.98,,p98,[p117,p84,p65,p76,],1,3060.98,98,98
p99,[p84,p121,p74,p117,],4,3060.93,,p99,[p84,p121,p74,p117,],4,3060.93,99,99
p100,[p74,p117,p84,p76,],0,3060.83,,p100,[p74,p117,p84,p76,],0,3060.83,100,100
p101,[p74,p121,p84,p81,],0,3062.11,,p101,[p74,p121,p84,p81,],0,3062.11,101,101
p102,[p65,p123,p74,p84,],0,3061.7,,p102,[p65,p123,p74,p84,],0,3061.7,102,102
p103,[p107,p122,p69,p76,],0,3061.85,,p103,[p107,p122,p69,p76,],0,3061.85,103,103
p104,[p86,p65,p123,p74,],0,3060.61,,p104,[p86,p65,p123,p74,],0,3060.61,104,104
p105,[p76,p81,p91,p121,],0,3060.9,,p105,[p76,p81,p91,p121,],0,3060.9,105,105
p106,[p107,p94,p121,p117,],0,3060.28,,p106,[p107,p94,p121,p117,],0,3060.28,106,106
p107,[p84,p121,p117,p65,],9,3061.04,,p107,[p84,p121,p117,p65,],9,3061.04,107,107
p108,[p84,p121,p127,p74,],0,3062.76,,p108,[p84,p121,p127,p74,],0,3062.76,108,108
p109,[p74,p91,p121,p117,],0,3060.94,,p109,[p74,p91,p121,p117,],0,3060.94,109,109
p110,[p123,p86,p98,p78,],0,3058.28,,p110,[p123,p86,p98,p78,],0,3058.28,110,110
p111,[p65,p74,p84,p107,],0,3060,,p111,[p65,p74,p84,p107,],0,3060,111,111
p112,[p121,p81,p117,p84,],0,3061.06,,p112,[p121,p81,p117,p84,],0,3061.06,112,112
p113,[p84,p77,p117,p122,],0,3060.51,,p113,[p84,p77,p117,p122,],0,3060.51,113,113
p114,[p122,p121,p84,p94,],0,3060.96,,p114,[p122,p121,p84,p94,],0,3060.96,114,114
p115,[p81,p99,p65,p74,],0,3061.65,,p115,[p81,p99,p65,p74,],0,3061.65,115,115
p116,[p107,p86,p99,p121,],0,3060.56,,p116,[p107,p86,p99,p121,],0,3060.56,116,116
p117,[p84,p74,p65,p121,],31,3060.6,,p117,[p84,p74,p65,p121,],31,3060.6,117,117
p118,[p107,p123,p121,p65,],0,3059.72,,p118,[p107,p123,p121,p65,],0,3059.72,118,118
p119,[p84,p65,p94,p121,],0,3061.22,,p119,[p84,p65,p94,p121,],0,3061.22,119,119
p120,[p86,p121,p123,p69,],0,3060.19,,p120,[p86,p121,p123,p69,],0,3060.19,120,120
p121,[p84,p65,p74,p117,],37,3060.74,,p121,[p84,p65,p74,p117,],37,3060.74,121,121
p122,[p117,p74,p65,p121,],9,3060.97,,p122,[p117,p74,p65,p121,],9,3060.97,122,122
p123,[p65,p117,p84,p74,],11,3060.96,,p123,[p65,p117,p84,p74,],11,3060.96,123,123
p124,[p117,p65,p84,p74,],2,3060.13,,p124,[p117,p65,p84,p74,],2,3060.13,124,124
p125,[p121,p84,p65,p74,],0,3060.56,,p125,[p121,p84,p65,p74,],0,3060.56,125,125
p126,[p107,p122,p127,p94,],0,3062.05,,p126,[p107,p122,p127,p94,],0,3062.05,126,126
p127,[p84,p117,p121,p94,],4,3060.83,,p127,[p84,p117,p121,p94,],4,3060.83,127,127
p128,[p190,p132,p177,p173,],0,3095.28,,p128,[p190,p132,p177,p173,],0,3095.28,128,128
p129,[p190,p135,p173,p132,],1,3095.51,,p129,[p190,p135,p173,p132,],1,3095.51,129,129
p130,[p165,p190,p132,p173,],0,3094.77,,p130,[p165,p190,p132,p173,],0,3094.77,130,130
p131,[p181,p135,p177,p190,],0,3095.4,,p131,[p181,p135,p177,p190,],0,3095.4,131,131
p132,[p135,p190,p173,p165,],29,3094.96,,p132,[p135,p190,p173,p165,],29,3094.96,132,132
p133,[p165,p141,p173,p177,],0,3095.05,,p133,[p165,p141,p173,p177,],0,3095.05,133,133
p134,[p132,p173,p147,p165,],0,3094.99,,p134,[p132,p173,p147,p165,],0,3094.99,134,134
p135,[p173,p190,p132,p177,],39,3095.5,,p135,[p173,p190,p132,p177,],39,3095.5,135,135
p136,[p135,p173,p177,p190,],0,3095.22,,p136,[p135,p173,p177,p190,],0,3095.22,136,136
p137,[p190,p173,p135,p177,],0,3094.8,,p137,[p190,p173,p135,p177,],0,3094.8,137,137
p138,[p159,p173,p132,p190,],0,3094.04,,p138,[p159,p173,p132,p190,],0,3094.04,138,138
p139,[p141,p189,p132,p159,],0,3096.95,,p139,[p141,p189,p132,p159,],0,3096.95,139,139
p140,[p173,p135,p190,p189,],0,3094.72,,p140,[p173,p135,p190,p189,],0,3094.72,140,140
p141,[p190,p173,p135,p177,],2,3094.93,,p141,[p190,p173,p135,p177,],2,3094.93,141,141
p142,[p135,p179,p173,p190,],0,3095.06,,p142,[p135,p179,p173,p190,],0,3095.06,142,142
p143,[p135,p177,p190,p173,],0,3094.73,,p143,[p135,p177,p190,p173,],0,3094.73,143,143
p144,[p135,p177,p165,p132,],0,3094.35,,p144,[p135,p177,p165,p132,],0,3094.35,144,144
p145,[p177,p189,p165,p132,],0,3094.77,,p145,[p177,p189,p165,p132,],0,3094.77,145,145
p146,[p164,p165,p177,p132,],0,3093.57,,p146,[p164,p165,p177,p132,],0,3093.57,146,146
p147,[p190,p135,p173,p165,],14,3095.14,,p147,[p190,p135,p173,p165,],14,3095.14,147,147
p148,[p129,p135,p173,p177,],0,3096.38,,p148,[p129,p135,p173,p177,],0,3096.38,148,148
p149,[p177,p173,p135,p190,],0,3095.51,,p149,[p177,p173,p135,p190,],0,3095.51,149,149
